"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"2574",153.762547948245,0.0294847911930275,0.145308589945137,0.202911549855103,0.8392041665943,0.891327053194603,"GAGE2C","2574"
"2575",421.821907029372,-0.274060736547809,0.0904817170649562,-3.02890733551246,0.00245439953159337,0.00534233352482988,NA,"2575"
"2576",0.780538626473067,0.604773914860077,2.10442479938325,0.287382050923046,0.773819803110904,0.842286281997673,"GAGE4","2576"
"2577",5.84422319930215,0.826663942813952,0.78693506329167,1.05048558817052,0.293494913570155,0.398776439217935,"GAGE5","2577"
"2578",657.665363567421,0.0799496285931923,0.0754275097317255,1.05995317726319,0.289165901357907,0.394093494933682,"GAGE6","2578"
"2579",3225.97479311063,0.0595449377517407,0.0466240959662567,1.27712798538411,0.20155706617761,0.292607175071475,"GAGE7","2579"
"2580",321.362216420597,-0.160305711025074,0.103540585967249,-1.54824033037422,0.121564444676935,0.188551545532379,"GAK","2580"
"2581",891.732185109351,0.392903144108657,0.0723175120395851,5.43302905516979,5.54053818660441e-08,1.9680995853019e-07,"GALC","2581"
"2582",23.114349877684,-0.467156488220608,0.368126789137192,-1.26900975969589,0.204437583182771,0.296024340129154,"GALE","2582"
"2583",142.992075279083,0.207162517017797,0.155888547475849,1.32891428121037,0.183876251639687,0.270753141838916,"B4GALNT1","2583"
"2585",304.213303862595,-0.080706863434194,0.105856627533333,-0.762416726423484,0.445811326431022,0.560650954126316,"GALK2","2585"
"2586",301.184944079193,-1.19250636340572,0.113510815246663,-10.5056629257253,8.13492045131854e-26,7.06496509201724e-25,NA,"2586"
"2587",5218.13128840855,-0.162559756885817,0.0427058827593547,-3.80649564842933,0.000140949771419773,0.000359958019612652,"GALR1","2587"
"2588",105.628668318824,2.11288705415362,0.1993662100746,10.5980198618563,3.04356060159045e-26,2.67956966226046e-25,"GALNS","2588"
"2589",765.087149005064,0.2916550612402,0.0737341362982119,3.95549572942204,7.63761126296424e-05,0.000200754618857797,"GALNT1","2589"
"2590",534.118661736913,0.193440146871603,0.0932519541849999,2.07438169593575,0.0380438758914544,0.0668762694284656,"GALNT2","2590"
"2591",6.41245930957333,3.04699926100719,0.918828842438384,3.3161772032766,0.000912579440263886,0.00210874816409676,"GALNT3","2591"
"2592",65.2073046124525,-0.216281251214603,0.231275886554565,-0.935165591349169,0.349702968091996,0.461407550916727,"GALT","2592"
"2593",12760.5393878931,0.538580542791808,0.0350901118092689,15.3484989081609,3.62476970315905e-53,6.66939524159278e-52,"GAMT","2593"
